DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-10-03,EQ,527.6,531.65,518.5,530.6,518.95,519.75,525.01,578.5,425.0,9351162,4909456239.05,141130,SBIN
2022-10-04,EQ,533.0,535.8,527.8,519.75,532.95,532.7,532.39,578.5,425.0,8745887,4656244525.45,128142,SBIN
2022-10-06,EQ,534.6,541.8,534.6,532.7,537.35,537.3,538.44,578.5,425.0,9507322,5119102137.6,183101,SBIN
2022-10-07,EQ,535.5,535.6,526.55,537.3,531.0,530.2,529.64,578.5,425.0,11065307,5860624159.5,185698,SBIN
2022-10-10,EQ,525.7,533.9,522.2,530.2,531.4,530.75,528.13,578.5,425.0,9649292,5096052558.9,191653,SBIN
2022-10-11,EQ,530.75,533.7,525.5,530.75,527.0,527.4,529.35,578.5,425.0,10825440,5730463472.65,159970,SBIN
2022-10-12,EQ,530.0,535.0,526.0,527.4,535.0,533.8,530.03,578.5,425.0,8522604,4517236010.0,121592,SBIN
2022-10-13,EQ,533.0,533.8,520.2,533.8,521.9,521.45,525.44,578.5,425.0,12972765,6816438201.85,166849,SBIN
2022-10-14,EQ,530.2,534.85,526.0,521.45,527.8,527.2,530.03,578.5,425.0,8545479,4529375083.5,144578,SBIN
2022-10-17,EQ,526.4,544.7,524.2,527.2,543.2,543.65,538.7,578.5,425.0,13485349,7264515862.55,208408,SBIN
2022-10-18,EQ,547.1,563.5,546.75,543.65,562.4,562.45,558.19,578.5,425.0,20440781,11409791394.1,245391,SBIN
2022-10-19,EQ,563.0,563.45,551.55,562.45,553.75,553.4,555.4,578.5,425.0,9540583,5298845388.7,137573,SBIN
2022-10-20,EQ,552.0,556.8,545.3,553.4,555.5,555.4,551.98,578.5,425.0,11225588,6196328573.95,134915,SBIN
2022-10-21,EQ,557.25,565.8,557.25,555.4,561.65,560.85,562.7,578.5,425.0,11767639,6621648120.8,198859,SBIN
2022-10-24,EQ,567.0,572.5,565.9,560.85,572.15,570.5,569.46,578.5,425.0,3692065,2102464996.35,63147,SBIN
2022-10-25,EQ,572.5,586.2,568.0,570.5,577.0,578.55,578.28,586.2,425.0,19899324,11507427412.85,215376,SBIN
2022-10-27,EQ,583.95,585.0,577.6,578.55,579.1,579.65,580.71,586.2,425.0,13613533,7905525313.35,209377,SBIN
2022-10-28,EQ,579.95,582.65,567.0,579.65,571.8,570.75,572.65,586.2,425.0,10043644,5751515569.95,144061,SBIN
2022-10-31,EQ,574.95,577.45,568.4,570.75,573.5,573.8,572.79,586.2,425.0,9894639,5667560387.8,139535,SBIN
2022-11-01,EQ,576.35,585.75,574.6,573.8,576.0,576.9,579.85,586.2,425.0,12069579,6998554295.3,163499,SBIN
2022-11-02,EQ,575.9,578.95,569.9,576.9,573.0,573.85,574.79,586.2,425.0,10241440,5886694998.95,142730,SBIN
2022-11-03,EQ,569.0,587.95,568.0,573.85,584.15,584.9,581.58,587.95,425.0,17557998,10211388603.8,244825,SBIN
2022-11-04,EQ,586.0,596.95,580.4,584.9,595.7,593.95,587.64,596.95,425.0,25759031,15137053924.2,302456,SBIN
2022-11-07,EQ,613.0,622.7,607.7,593.95,613.8,614.15,615.56,622.7,425.0,44265903,27248449289.6,470162,SBIN
2022-11-09,EQ,621.0,621.0,610.55,614.15,614.6,615.55,615.08,622.7,425.0,18939854,11649523009.9,302328,SBIN
2022-11-10,EQ,613.1,615.1,602.2,615.55,605.05,605.75,607.23,622.7,425.0,11618405,7055030835.7,232699,SBIN
2022-11-11,EQ,617.25,619.55,598.5,605.75,600.0,601.3,605.28,622.7,425.0,15525267,9397103693.35,220631,SBIN
2022-11-14,EQ,603.95,603.95,591.65,601.3,592.5,592.55,596.08,622.7,425.0,12957268,7723573323.3,227415,SBIN
2022-11-15,EQ,594.3,602.1,592.65,592.55,601.5,600.85,597.7,622.7,425.0,10286417,6148169628.95,153811,SBIN
2022-11-16,EQ,599.95,603.5,596.0,600.85,599.0,599.75,600.52,622.7,425.0,11555749,6939489693.9,168811,SBIN
2022-11-17,EQ,599.1,602.75,596.15,599.75,598.45,599.05,599.41,622.7,425.0,8167131,4895433201.45,114824,SBIN
2022-11-18,EQ,601.0,605.75,597.15,599.05,602.05,602.7,601.12,622.7,425.0,12933675,7774746404.45,155935,SBIN
2022-11-21,EQ,602.1,602.1,595.35,602.7,598.0,598.1,598.39,622.7,425.0,7412419,4435509514.55,135865,SBIN
2022-11-22,EQ,598.15,600.7,596.15,598.1,599.0,599.1,598.56,622.7,425.0,8048595,4817532263.45,126028,SBIN
2022-11-23,EQ,601.55,609.6,601.0,599.1,607.1,607.65,606.5,622.7,425.0,12435924,7542386457.5,171897,SBIN
2022-11-24,EQ,609.75,611.3,605.8,607.65,609.6,609.35,608.75,622.7,425.0,8960032,5454395604.45,128229,SBIN
2022-11-25,EQ,610.55,613.7,606.25,609.35,607.2,607.4,609.3,622.7,425.0,9994513,6089640965.5,136359,SBIN
2022-11-28,EQ,605.6,610.9,602.35,607.4,608.0,608.6,606.01,622.7,425.0,7934274,4808229149.85,121851,SBIN
